Name,Position,From,To,Location,Parish district
Sir Philip Martin Bailhache,Assistant Chief Minister,01/01/2014,28/01/2014,Island-wide,
Sir Philip Martin Bailhache,Assistant Chief Minister,01/01/2013,31/12/2013,Island-wide,
Sir Philip Martin Bailhache,Assistant Chief Minister,01/01/2012,31/12/2012,Island-wide,
Sir Philip Martin Bailhache,Assistant Chief Minister,25/11/2011,31/12/2011,Island-wide,
Frederick Ellyer Cohen,Assistant Chief Minister,14/01/2011,17/11/2011,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,01/01/2008,16/12/2008,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,01/01/2007,31/12/2007,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,01/01/2006,31/12/2006,Island-wide,
Ian Joseph Gorst,Assistant Chief Minister,09/12/2005,31/12/2005,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,01/01/2011,14/01/2011,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,01/01/2010,31/12/2010,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,01/01/2009,31/12/2009,Island-wide,
John Alexander Nicholas Le Fondré,Assistant Chief Minister,16/12/2008,31/12/2008,Island-wide,
Philip Francis Cyril Ozouf,Assistant Chief Minister,01/01/2016,31/12/2016,Island-wide,
Philip Francis Cyril Ozouf,Assistant Chief Minister,01/01/2015,31/12/2015,Island-wide,
Philip Francis Cyril Ozouf,Assistant Chief Minister,28/01/2014,31/12/2014,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2016,31/12/2016,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2015,31/12/2015,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2014,31/12/2014,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2013,31/12/2013,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2012,31/12/2012,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,25/11/2011,31/12/2011,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2010,31/12/2010,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,01/01/2009,31/12/2009,Island-wide,
"Paul Francis Routier, M.B.E.",Assistant Chief Minister,16/12/2008,31/12/2008,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,01/01/2008,16/12/2008,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,01/01/2007,31/12/2007,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,01/01/2006,31/12/2006,Island-wide,
Kenneth Priaulx Vibert,Assistant Chief Minister,09/12/2005,31/12/2005,Island-wide,
Scott Michael Wickenden,Assistant Chief Minister,12/07/2016,31/12/2016,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2014,13/11/2014,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2013,31/12/2013,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2012,31/12/2012,Island-wide,
James Patrick Gorton Baker,"Assistant Economic Development, Tourism, Sport and Culture Minister",17/11/2011,31/12/2011,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2008,16/12/2008,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2007,31/12/2007,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2006,31/12/2006,Island-wide,
Geoffrey William Fisher,"Assistant Economic Development, Tourism, Sport and Culture Minister",09/12/2005,31/12/2005,Island-wide,
Carolyn Fiona Labey,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2014,13/11/2014,Island-wide,
Carolyn Fiona Labey,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2013,31/12/2013,Island-wide,
Carolyn Fiona Labey,"Assistant Economic Development, Tourism, Sport and Culture Minister",01/01/2012,31/12/2012,Island-wide,
